surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
أنا,word,anā,,I; me,,,,1,TextPlex Arabic starter lexicon: Modern Standard Arabic pronoun
أنت,word,anta,,you,,,,2,TextPlex Arabic starter lexicon: Modern Standard Arabic pronoun
هو,word,huwa,,he,,,,3,TextPlex Arabic starter lexicon: Modern Standard Arabic pronoun
هي,word,hiya,,she,,,,4,TextPlex Arabic starter lexicon: Modern Standard Arabic pronoun
نعم,word,naʿam,,yes,,,,5,TextPlex Arabic starter lexicon: Modern Standard Arabic affirmation
لا,word,lā,,no,,,,6,TextPlex Arabic starter lexicon: Modern Standard Arabic negation
شكرًا,word,shukran,,thank you,,,,7,TextPlex Arabic starter lexicon: Modern Standard Arabic courtesy
من فضلك,word,min faḍlik,,please,,,,8,TextPlex Arabic starter lexicon: Modern Standard Arabic courtesy
مرحبا,word,marhaban,,hello,,,,9,TextPlex Arabic starter lexicon: Modern Standard Arabic greeting
ماء,word,māʾ,,water,,,,10,TextPlex Arabic starter lexicon: everyday noun
طعام,word,ṭaʿām,,food,,,,11,TextPlex Arabic starter lexicon: everyday noun
بيت,word,bayt,,house; home,,,,12,TextPlex Arabic starter lexicon: everyday noun
كتاب,word,kitāb,,book,,,,13,TextPlex Arabic starter lexicon: everyday noun
أسرة,word,usra,,family,,,,14,TextPlex Arabic starter lexicon: everyday noun
صديق,word,ṣadīq,,friend,,,,15,TextPlex Arabic starter lexicon: everyday noun
مدرسة,word,madrasa,,school,,,,16,TextPlex Arabic starter lexicon: everyday noun
شكرا,word,shukran,,thank you,,,,17,TextPlex Arabic starter lexicon: alternate undiacritized courtesy form
جيد,word,jayyid,,good,,,,18,TextPlex Arabic starter lexicon: basic adjective
