surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
אני,word,ani,,I; me,,,,1,TextPlex Hebrew starter lexicon: basic pronoun
אתה,word,atah,,you (masculine),,,,2,TextPlex Hebrew starter lexicon: basic pronoun
את,word,at,,you (feminine),,,,3,TextPlex Hebrew starter lexicon: basic pronoun
הוא,word,hu,,he,,,,4,TextPlex Hebrew starter lexicon: basic pronoun
היא,word,hi,,she,,,,5,TextPlex Hebrew starter lexicon: basic pronoun
כן,word,ken,,yes,,,,6,TextPlex Hebrew starter lexicon: basic affirmation
לא,word,lo,,no,,,,7,TextPlex Hebrew starter lexicon: basic negation
תודה,word,todah,,thank you,,,,8,TextPlex Hebrew starter lexicon: basic courtesy
שלום,word,shalom,,hello; peace,,,,9,TextPlex Hebrew starter lexicon: basic greeting
בבקשה,word,bevakasha,,please; you're welcome,,,,10,TextPlex Hebrew starter lexicon: basic courtesy
מים,word,mayim,,water,,,,11,TextPlex Hebrew starter lexicon: everyday noun
אוכל,word,okhel,,food,,,,12,TextPlex Hebrew starter lexicon: everyday noun
בית,word,bayit,,house; home,,,,13,TextPlex Hebrew starter lexicon: everyday noun
ספר,word,sefer,,book,,,,14,TextPlex Hebrew starter lexicon: everyday noun
משפחה,word,mishpacha,,family,,,,15,TextPlex Hebrew starter lexicon: everyday noun
חבר,word,chaver,,friend,,,,16,TextPlex Hebrew starter lexicon: everyday noun
טוב,word,tov,,good,,,,17,TextPlex Hebrew starter lexicon: basic adjective
