surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
私,word,watashi,,I; me,,,,1,TextPlex Japanese starter lexicon: basic pronoun
あなた,word,anata,,you,,,,2,TextPlex Japanese starter lexicon: basic pronoun
彼,word,kare,,he; boyfriend,,,,3,TextPlex Japanese starter lexicon: basic pronoun
彼女,word,kanojo,,she; girlfriend,,,,4,TextPlex Japanese starter lexicon: basic pronoun
はい,word,hai,,yes,,,,5,TextPlex Japanese starter lexicon: basic affirmation
いいえ,word,iie,,no,,,,6,TextPlex Japanese starter lexicon: basic negation
ありがとう,word,arigatō,,thank you,,,,7,TextPlex Japanese starter lexicon: basic courtesy
お願いします,word,onegaishimasu,,please,,,,8,TextPlex Japanese starter lexicon: basic courtesy
こんにちは,word,konnichiwa,,hello,,,,9,TextPlex Japanese starter lexicon: basic greeting
水,word,mizu,,water,,,,10,TextPlex Japanese starter lexicon: everyday noun
食べ物,word,tabemono,,food,,,,11,TextPlex Japanese starter lexicon: everyday noun
家,word,ie,,house; home,,,,12,TextPlex Japanese starter lexicon: everyday noun
本,word,hon,,book,,,,13,TextPlex Japanese starter lexicon: everyday noun
家族,word,kazoku,,family,,,,14,TextPlex Japanese starter lexicon: everyday noun
友達,word,tomodachi,,friend,,,,15,TextPlex Japanese starter lexicon: everyday noun
学校,word,gakkō,,school,,,,16,TextPlex Japanese starter lexicon: everyday noun
良い,word,yoi,,good,,,,17,TextPlex Japanese starter lexicon: basic adjective
