surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
것,word,geos,,A thing or an object,,,A,1,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2; source_complexity=A; pos=의; classification=noun; senses=1
하다,word,hada,,To do,,,A,2,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=3, 8; source_complexity=A; pos=동, 보; classification=verb, auxiliary verb; senses=1"
있다,word,issda,,1. to be (in a place); to exist 2. to have; To be,,,A,3,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=4, 5, 855; source_complexity=A; pos=보, 형, 동; classification=auxiliary verb, adjective, verb; senses=2"
되다,word,doeda,,"to become; (of a time) to come, to arrive",,,A,5,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=6; source_complexity=A; pos=동; classification=verb; hanja_ref=어른이~; senses=1
수,word,su,,"way, method, means; number; way, method, Number",,,A,6,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=7, 872, 4954; source_complexity=A, C; pos=의, 명; classification=noun; hanja_ref=방법, 數.~를세다; senses=3"
나,word,na,,I,,,A,8,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=9; source_complexity=A; pos=대; classification=pronoun; senses=1
그,word,geu,,"He, That",,,A,9,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=10, 16, 1102; source_complexity=A; pos=관, 대, 감; classification=attributive, pronoun, interjection; senses=1"
없다,word,eopsda,,"Do not exist, absent",,,A,10,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=11; source_complexity=A; pos=형; classification=adjective; senses=1
않다,word,anhda,,To not do,,,A,11,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=12, 1740; source_complexity=A; pos=보, 동; classification=auxiliary verb, verb; senses=1"
사람,word,saram,,Person,,,A,12,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=13; source_complexity=A; pos=명; classification=noun; senses=1
우리,word,uri,,"we, our",,,A,13,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=14; source_complexity=A; pos=대; classification=pronoun; senses=1
