source_row,frequency_rank,complexity,word,romanized,pos_ko,classification,hanja_ref,english,note,word_group_size,word_group_index,review_flags
2,1.0,A,것,geos,의,noun,,A thing or an object,,1,1,
3,2.0,A,하다,hada,동,verb,,To do,,2,1,surface_duplicate
4,3.0,A,있다,issda,보,auxiliary verb,,1. to be (in a place); to exist 2. to have,after the 어/아 (-eo/a) infinitive) to be (in a state),3,1,surface_duplicate
5,4.0,A,있다,issda,형,adjective,,To be,after the 고 (-go) connective) to be in the process of,3,2,surface_duplicate
6,5.0,A,되다,doeda,동,verb,어른이~,"to become; (of a time) to come, to arrive",,1,1,
7,6.0,A,수,su,의,noun,방법,"way, method, means",,3,1,surface_duplicate
8,7.0,A,하다,hada,보,auxiliary verb,,To do,,2,2,surface_duplicate
9,8.0,A,나,na,대,pronoun,,I,,1,1,
10,9.0,A,그,geu,관,attributive,,"He, That",,3,1,surface_duplicate
11,10.0,A,없다,eopsda,형,adjective,,"Do not exist, absent",,1,1,
12,11.0,A,않다,anhda,보,auxiliary verb,,To not do,,2,1,surface_duplicate
13,12.0,A,사람,saram,명,noun,,Person,,1,1,
14,13.0,A,우리,uri,대,pronoun,,"we, our",,1,1,
15,14.0,A,이,i,관,attributive,,"A person, This",,5,1,surface_duplicate
16,15.0,A,그,geu,대,pronoun,,"He, That",,3,2,surface_duplicate
17,16.0,A,아니다,anida,형,adjective,,To not be,,1,1,
18,17.0,A,보다,boda,동,verb,,"To see, to watch, to look at",,3,1,surface_duplicate
19,18.0,B,등,deung,의,noun,等,rank,,3,1,surface_duplicate
20,19.0,A,때,ttae,명,noun,시간,occasion; time,,2,1,surface_duplicate
21,20.0,A,거,geo,의,noun,것,thing,,2,1,surface_duplicate
22,21.0,A,보다,boda,보,auxiliary verb,,to try out (+auxiliary),,3,2,surface_duplicate
23,22.0,A,같다,gatda,형,adjective,,To be similar,,1,1,
24,23.0,A,주다,juda,보,auxiliary verb,,"To give, to do for a person",,2,1,surface_duplicate
25,24.0,B,대하다,daehada,동,verb,對-,"Face, confront",,1,1,
26,25.0,A,가다,gada,동,verb,,To go,,2,1,surface_duplicate
27,26.0,A,년,nyeon,의,noun,年,Year,,1,1,
28,27.0,A,한,han,관,attributive,,"One, a single",,3,1,surface_duplicate
29,28.0,A,말,mal,명,noun,~과글,"words,speaking",,3,1,surface_duplicate
30,29.0,A,일,il,명,noun,,Work,,3,1,surface_duplicate
31,30.0,A,이,i,대,pronoun,,"A person, This",,5,2,surface_duplicate
32,31.0,A,때문,ttaemun,의,noun,,Because of,,1,1,
33,32.0,A,말하다,malhada,동,verb,,Speak,,1,1,
34,33.0,B,위하다,wihada,동,verb,爲-,To do for the sake of,,1,1,
35,34.0,A,그러나,geureona,부,adverb,,However or but still,,1,1,
36,35.0,A,오다,oda,동,verb,,To come,,2,1,surface_duplicate
37,36.0,A,알다,alda,동,verb,,To know,,1,1,
38,37.0,A,씨,ssi,의,noun,氏,~ Mr.,,2,1,surface_duplicate
39,38.0,A,그렇다,geureohda,형,adjective,,That is right or yes.,,1,1,
40,39.0,A,크다,keuda,형,adjective,,"To be big, large",,2,1,surface_duplicate
41,40.0,A,또,tto,부,adverb,,"also, too",,1,1,
42,41.0,A,일,il,의,noun,하루,day,,3,2,surface_duplicate
43,42.0,B,사회,sahoe,명,noun,社會,"culture,society",,1,1,
44,43.0,A,많다,manhda,형,adjective,,"many, much",,1,1,
45,44.0,A,안,an,부,adverb,아니,~ not ~ + VERB,,3,1,surface_duplicate
46,45.0,A,좋다,johda,형,adjective,,To be good,,1,1,
47,46.0,A,더,deo,부,adverb,,More,,1,1,
48,47.0,A,받다,batda,동,verb,선물을~,Receive,,1,1,
49,48.0,A,그것,geugeos,대,pronoun,,That thing,,1,1,
50,49.0,A,집,jip,명,noun,,House,,1,1,
51,50.0,A,나오다,naoda,동,verb,,Come out,,1,1,
52,51.0,B,따르다,ttareuda,동,verb,뒤를~,follow,,2,1,surface_duplicate
53,52.0,A,그리고,geurigo,부,adverb,,And or and then,,1,1,
54,53.0,A,문제,munje,명,noun,問題,"question,problem",,1,1,
55,54.0,B,그런,geureon,관,attributive,,Such a,,1,1,
56,55.0,A,살다,salda,동,verb,,To live,,1,1,
57,56.0,A,저,jeo,대,pronoun,일인칭대명사,That,,4,1,surface_duplicate
58,57.0,A,못하다,moshada,보,auxiliary verb,,Be impossible,,3,1,surface_duplicate
59,58.0,A,생각하다,saenggakhada,동,verb,,To think,,1,1,
60,59.0,A,모르다,moreuda,동,verb,,To not know,,1,1,
61,60.0,A,속,sok,명,noun,,The inside,,1,1,
62,61.0,A,만들다,mandeulda,동,verb,,To make,,1,1,
63,62.0,B,데,de,의,noun,,"Place, point, instance",,1,1,
64,63.0,A,두,du,관,attributive,,two,,1,1,
65,64.0,A,앞,ap,명,noun,,"In front of, before",,1,1,
66,65.0,B,경우,gyeongu,명,noun,境遇,A case or an instance,,1,1,
67,66.0,B,중,jung,의,noun,中,"The center, the middle",,1,1,
68,67.0,A,어떤,eotteon,관,attributive,,"What kind of, what sort of",,1,1,
69,68.0,A,잘,jal,부,adverb,,Well,,1,1,
70,69.0,C,그녀,geunyeo,대,pronoun,-女,She,,1,1,
71,70.0,A,먹다,meokda,동,verb,밥을~,"Eat, chow down on",,3,1,surface_duplicate
72,71.0,A,오다,oda,보,auxiliary verb,,To come,,2,2,surface_duplicate
73,72.0,B,자신,jasin,명,noun,自身,"one’s own self, one\’s own body",,2,1,surface_duplicate
74,73.0,B,문화,munhwa,명,noun,文化,culture,,1,1,
75,74.0,A,원,won,의,noun,화폐단위,"A unit of south korean money, KRW",,3,1,surface_duplicate
76,75.0,A,생각,saenggak,명,noun,,Thought,,1,1,
77,76.0,A,어떻다,eotteohda,형,adjective,,"how,what.. do you think of",,1,1,
78,77.0,A,명,myeong,의,noun,名.한~,Person counter,,1,1,
79,78.0,B,통하다,tonghada,동,verb,通-,"Run, lead; flow; go through",,1,1,
80,79.0,C,그러다,geureoda,동,verb,,"and so, and then, well",,1,1,
81,80.0,B,소리,sori,명,noun,,"A sound,noise",,1,1,
82,81.0,A,다시,dasi,부,adverb,,Again,,1,1,
83,82.0,A,다른,dareun,관,attributive,,Different,,1,1,
84,83.0,A,이런,ireon,관,attributive,,"Such, like this",,1,1,
85,84.0,A,여자,yeoja,명,noun,女子,"woman,female",,1,1,
86,85.0,A,개,gae,의,noun,個,Unit or piece,,2,1,surface_duplicate
87,86.0,B,정도,jeongdo,명,noun,程度,"grade,degree",,1,1,
88,87.0,A,뒤,dwi,명,noun,,"back, latter, rear",,1,1,
89,88.0,A,듣다,deutda,동,verb,소리를~,"to listen, to hear",,1,1,
90,89.0,A,다,da,부,adverb,,"All, everything",,2,1,surface_duplicate
91,90.0,A,좀,jom,부,adverb,조금,A little,,1,1,
92,91.0,A,들다,deulda,동,verb,여관에~,to enter/go into ; stay at hotel or inn,,3,1,surface_duplicate
93,92.0,A,싶다,sipda,보,auxiliary verb,,"want,hope",,1,1,
94,93.0,B,보이다,boida,동,verb,보다'의피동사,"see,catch sight of",,2,1,surface_duplicate
95,94.0,A,가지다,gajida,동,verb,,To have or take or hold,,2,1,surface_duplicate
96,95.0,A,함께,hamkke,부,adverb,,"Together, with",,1,1,
97,96.0,A,아이,ai,명,noun,,Child,,2,1,surface_duplicate
98,97.0,B,지나다,jinada,동,verb,,"pass,elapse,go on",,1,1,
99,98.0,A,많이,manhi,부,adverb,,A lot,,1,1,
100,99.0,A,시간,sigan,명,noun,時間,Time,,2,1,surface_duplicate
101,100.0,A,너,neo,대,pronoun,,You,,1,1,
102,101.0,A,주다,juda,동,verb,,"To give, to do for a person",,2,2,surface_duplicate
103,102.0,B,인간,ingan,명,noun,人間,"A person, a human being",,1,1,
104,103.0,B,사실,sasil,명,noun,事實,"The truth, a fact",,2,1,surface_duplicate
105,104.0,A,나다,nada,동,verb,,To be born,,2,1,surface_duplicate
106,105.0,A,이렇다,ireohda,형,adjective,,Like this,,1,1,
107,106.0,A,어머니,eomeoni,명,noun,,Mom,,1,1,
108,107.0,A,눈,nun,명,noun,신체의일부,Eyes,,2,1,surface_duplicate
109,108.0,A,뭐,mwo,대,pronoun,,Huh? (2) something,,2,1,surface_duplicate
110,109.0,B,점,jeom,명,noun,點,"point, spot",,2,1,surface_duplicate
111,110.0,B,의하다,uihada,동,verb,依-,"To be due to, owing to",,1,1,
112,111.0,B,시대,sidae,명,noun,時代,"An age,period",,1,1,
113,112.0,A,다음,daeum,명,noun,,Next,,1,1,
114,113.0,B,이러하다,ireohada,형,adjective,,"Be this way, be like follows",,1,1,
115,114.0,A,누구,nugu,대,pronoun,,Who,,1,1,
116,115.0,A,전,jeon,명,noun,前,Before,,3,1,surface_duplicate
117,116.0,A,곳,gos,명,noun,,a,,1,1,
118,117.0,A,여러,yeoreo,관,attributive,,"many,various",,1,1,
119,118.0,A,안,an,명,noun,집~,~ not ~ + VERB,,3,2,surface_duplicate
120,119.0,A,하나,hana,수,numeral,,One,,2,1,surface_duplicate
121,120.0,B,세계,segye,명,noun,世界,World,,1,1,
122,121.0,A,버리다,beorida,보,auxiliary verb,,"(following a verb) the verb\’s action is over, perhaps in a sad way",,2,1,surface_duplicate
123,122.0,A,위,wi,명,noun,~아래,"The upper part, above",,3,1,surface_duplicate
124,123.0,A,운동,undong,명,noun,運動,"Motion, movement",,1,1,
125,124.0,A,퍼센트,peosenteu,의,noun,percent,Percent,,1,1,
126,125.0,A,학교,hakgyo,명,noun,學校,School,,1,1,
127,126.0,B,자기,jagi,대,pronoun,自己,"Oneself, number one, numerouno, self",,2,1,surface_duplicate
128,127.0,A,가장,gajang,부,adverb,,Most,,2,1,surface_duplicate
129,128.0,B,대통령,daetongryeong,명,noun,大統領,The president,,1,1,
130,129.0,B,가지,gaji,의,noun,한~,One of the kind or a sort,,2,1,surface_duplicate
131,130.0,A,들다,deulda,동,verb,꽃을~,"to hold, to carry; to give",,3,2,surface_duplicate
132,131.0,A,시작하다,sijakhada,동,verb,始作-,"To start,begin",,1,1,
133,132.0,A,바로,baro,부,adverb,,"Right, correctly",,1,1,
134,133.0,A,어느,eoneu,관,attributive,,"Some, a certain",,1,1,
135,134.0,A,그래서,geuraeseo,부,adverb,,And so accordingly,,2,1,surface_duplicate
136,135.0,A,무엇,mueos,대,pronoun,,"That thing,whatever",,1,1,
137,136.0,C,정부,jeongbu,명,noun,政府,Government,,1,1,
138,137.0,A,모든,modeun,관,attributive,,Every one,,1,1,
139,138.0,A,번,beon,의,noun,番,"Number, how many times",,1,1,
140,139.0,A,그거,geugeo,대,pronoun,,That thing,,1,1,
141,140.0,A,돈,don,명,noun,,Money,,1,1,
142,141.0,B,국가,gukga,명,noun,國家,A state or a nation,,1,1,
143,142.0,A,그런데,geureonde,부,adverb,,But or however,,1,1,
144,143.0,A,날,nal,명,noun,어느~,Day,,1,1,
145,144.0,A,여기,yeogi,대,pronoun,,A hobby,,1,1,
146,145.0,A,모두,modu,부,adverb,,Everybody,,2,1,surface_duplicate
147,146.0,B,여성,yeoseong,명,noun,女性,Female,,1,1,
148,147.0,A,동무,dongmu,명,noun,同-,A friend,alternative:  친구 (Hanj: 親舊) a friend,1,1,
149,148.0,A,마음,maeum,명,noun,,Heart,,1,1,
150,149.0,A,후,hu,명,noun,後,After,,1,1,
151,150.0,A,가다,gada,보,auxiliary verb,,To go,,2,2,surface_duplicate
152,151.0,A,놓다,nohda,보,auxiliary verb,,"Put, place",,2,1,surface_duplicate
153,152.0,B,관계,gwangye,명,noun,關係,Connection or relation,,1,1,
154,153.0,A,아버지,abeoji,명,noun,,Father,,1,1,
155,154.0,A,남자,namja,명,noun,男子,Boy,,1,1,
156,155.0,A,어디,eodi,대,pronoun,,Where?,,2,1,surface_duplicate
157,156.0,A,몸,mom,명,noun,,"body,physique",,1,1,
158,157.0,A,얼굴,eolgul,명,noun,,Face,,1,1,
159,158.0,A,들어가다,deureogada,동,verb,,to go into; to enter,,1,1,
160,159.0,A,왜,wae,부,adverb,,Why?,,1,1,
161,160.0,B,나타나다,natanada,동,verb,,"Come out, appear",,1,1,
162,161.0,A,말다,malda,보,auxiliary verb,,Cease,,3,1,surface_duplicate
163,162.0,B,지역,jiyeok,명,noun,地域,"An area, region",,1,1,
164,163.0,A,다르다,dareuda,형,adjective,,Be different,,1,1,
165,164.0,B,모습,moseup,명,noun,,"shape,body",,1,1,
166,165.0,A,물,mul,명,noun,바닷~,Water,,1,1,
167,166.0,A,만나다,mannada,동,verb,,Meet,,1,1,
168,167.0,A,내다,naeda,동,verb,길을~,produce something,,2,1,surface_duplicate
169,168.0,B,보이다,boida,동,verb,보다'의사동사,"to show, to cause to see",,2,2,surface_duplicate
170,169.0,A,쓰다,sseuda,동,verb,글씨를~,To write,,4,1,surface_duplicate
171,170.0,A,이것,igeos,대,pronoun,,This thing,,1,1,
172,171.0,B,없이,eopsi,부,adverb,,Without,,1,1,
173,172.0,A,이번,ibeon,명,noun,-番,This time,,1,1,
174,173.0,A,길,gil,명,noun,도로,Road,,1,1,
175,174.0,A,생활,saenghwal,명,noun,生活,"lifestyle,livelihood",,1,1,
176,175.0,A,쓰다,sseuda,동,verb,약을~,"to use, to take (medicine)",,4,2,surface_duplicate
177,176.0,A,지금,jigeum,명,noun,只今,Now,,2,1,surface_duplicate
178,177.0,B,뿐,ppun,의,noun,,"only,alone,merely",,1,1,
179,178.0,A,사이,sai,명,noun,,space between 2 points; the relationship between 2 people,,1,1,
180,179.0,B,방법,bangbeop,명,noun,方法,"Way, method",,1,1,
181,180.0,C,새롭다,saeropda,형,adjective,,"To be new,novel",,1,1,
182,181.0,A,우리나라,urinara,명,noun,,Korea,,1,1,
183,182.0,A,내다,naeda,보,auxiliary verb,참아~,produce something,,2,2,surface_duplicate
184,183.0,A,앉다,anjda,동,verb,,To sit down,,1,1,
185,184.0,A,처음,cheoeum,명,noun,,First,,1,1,
186,185.0,A,손,son,명,noun,신체의일부,The hand,,1,1,
187,186.0,A,몇,myeocc,관,attributive,,A few,,2,1,surface_duplicate
188,187.0,A,그때,geuttae,명,noun,,Then or at that time,,1,1,
189,188.0,C,과정,gwajeong,명,noun,過程,"Process,  course of events",,2,1,surface_duplicate
190,189.0,C,삶,salm,명,noun,,Life,,1,1,
191,190.0,B,갖다,gajda,동,verb,가지다,"to have, hold, own",,2,1,surface_duplicate
192,191.0,A,찾다,chajda,동,verb,,"seek,look for",,1,1,
193,192.0,B,특히,teukhi,부,adverb,特-,Especially,,1,1,
194,193.0,A,시,si,의,noun,時,Time,,3,1,surface_duplicate
195,194.0,B,이상,isang,명,noun,以上,"More than, above",,3,1,surface_duplicate
196,195.0,A,지금,jigeum,부,adverb,只今,Now,,2,2,surface_duplicate
197,196.0,A,나가다,nagada,동,verb,,To go out,,2,1,surface_duplicate
