surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
январь,word,yanvar,,january,,,,1,calendar supplement
февраль,word,fevral,,february,,,,2,calendar supplement
март,word,mart,,march,,,,3,calendar supplement
апрель,word,aprel,,april,,,,4,calendar supplement
май,word,mai,,may,,,,5,calendar supplement
июнь,word,iyun,,june,,,,6,calendar supplement
июль,word,iyul,,july,,,,7,calendar supplement
август,word,avgust,,august,,,,8,calendar supplement
сентябрь,word,sentyabr,,september,,,,9,calendar supplement
октябрь,word,oktyabr,,october,,,,10,calendar supplement
ноябрь,word,noyabr,,november,,,,11,calendar supplement
декабрь,word,dekabr,,december,,,,12,calendar supplement
